ObjectID,Label,MeanIntensity,StandardDeviationIntensity,MaxIntensity,MinIntensity,TotalIntensity,Area,Count,EquivalentDiskRadius,Elongation,Eccentricity,Circularity
5,5,0.01562619,0.000931721,0.017959869,0.013336385,7.516197452,484.625,481,12.37364357,0.106690912,0.449442848,0.936559948
6,6,0.011809266,0.000430682,0.01295491,0.010650797,9.624551766,819.375,815,16.1065998,0.101290289,0.438544017,0.941424452
7,7,0.014046548,0.000527996,0.016128786,0.012542916,7.978439002,571.75,568,13.44618962,0.111788678,0.45943514,0.977535734
8,8,0.014450234,0.00083672,0.016830701,0.012512398,7.3407187,512.25,508,12.71618741,0.544601012,0.89028746,0.798316931
9,9,0.011999238,0.000430933,0.013061723,0.010849165,6.64757763,556.875,554,13.27944566,0.283090748,0.697166497,0.921684127
11,11,0.013711936,0.000525546,0.01513695,0.012237736,2.5778439,189.0,188,7.735777828,0.392051438,0.793976414,0.911685324
12,12,0.012742263,0.000449244,0.013794156,0.011337453,5.160616464,407.625,405,11.35409635,0.197412438,0.596534329,0.918163225
13,13,0.01369403,0.000698744,0.015609979,0.011993591,4.655970092,342.75,340,10.4031419,0.338417177,0.749872102,0.894028941
14,14,0.013598327,0.000792033,0.015548943,0.011520562,6.703974975,496.375,493,12.52704171,0.378047159,0.7830547,0.892564786
15,15,0.013726192,0.000480942,0.015182727,0.012390326,4.776714733,350.625,348,10.52482021,0.132974712,0.498264137,0.976822389
16,16,0.014605727,0.000549528,0.015960937,0.013000687,6.820874342,470.5,467,12.19224003,0.114679535,0.46498137,0.96241266
17,17,0.014757403,0.000744104,0.016083009,0.011932555,5.253635462,358.375,356,10.64510777,0.066459971,0.358473171,0.97117945
18,18,0.013177512,0.000358297,0.013977264,0.012176699,2.688212406,206.125,204,8.058239062,0.190938958,0.587724621,0.936896403
19,19,0.018009372,0.001374017,0.020523384,0.014999619,4.646417945,260.625,258,9.062226583,0.603173046,0.917893441,0.752190074
20,20,0.012566555,0.000378411,0.01356527,0.011413748,8.947386893,715.875,712,15.05445578,0.062966453,0.349239363,0.947409331
22,22,0.012518899,0.000530268,0.013580529,0.011322194,4.231387808,340.5,338,10.37249929,0.497274919,0.864446351,0.836937034
23,23,0.018240944,0.000949424,0.021149004,0.014740215,13.84487678,763.375,759,15.54339743,0.106248418,0.448562269,0.962211589
24,24,0.015667937,0.000668653,0.01762417,0.013534752,9.009063859,579.25,575,13.52879095,0.159655733,0.542053053,0.965040343
25,25,0.012575754,0.000435801,0.014007782,0.011139086,6.451361868,516.75,513,12.77861384,0.160964982,0.54407742,0.929003086
26,26,0.018697353,0.0010006,0.020584421,0.015472648,10.73228046,577.625,574,13.51702166,0.07701733,0.384841515,0.976069545
28,28,0.011998572,0.000368206,0.013092241,0.010971237,9.850827802,825.625,821,16.16577918,0.092827141,0.42075813,0.904266822
29,29,0.013503061,0.00042158,0.014770733,0.012405585,6.846051728,510.25,507,12.70366531,0.087553437,0.409195882,0.964358036
30,30,0.014032578,0.000587693,0.015045396,0.012558175,1.010345617,73.0,72,4.787307365,0.146784227,0.521558094,1.026125347
31,31,0.016643901,0.001690535,0.019882506,0.013473716,6.191531243,375.25,372,10.88169461,0.17804914,0.569558411,0.966117506
32,32,0.013565925,0.000660132,0.015014878,0.011917296,6.009704738,446.0,443,11.87481703,0.446479826,0.832835768,0.829561288
34,34,0.013005792,0.000575099,0.014724956,0.011306935,14.03324941,1084.375,1079,18.53257584,0.028382472,0.236557348,0.918244001
35,35,0.017374157,0.001128136,0.019928283,0.013992523,9.034561685,522.75,520,12.86550197,0.080255861,0.392518432,0.972611099
36,36,0.013579617,0.00069164,0.015548943,0.012069886,7.49594873,556.0,552,13.25545387,0.438358466,0.827380678,0.856373607
37,37,0.012643119,0.000423016,0.013748379,0.011337453,5.487113756,436.625,434,11.75357352,0.024872912,0.221646478,0.926615865
38,38,0.012435842,0.000660208,0.013962005,0.010879683,4.364980545,354.375,351,10.57008846,0.363479556,0.771259829,0.89526089
39,39,0.012736424,0.000541339,0.014724956,0.011337453,13.11851682,1035.125,1030,18.10688219,0.220983309,0.627003186,0.948210392
40,40,0.014672774,0.000853675,0.016327153,0.012207218,7.585824369,520.5,517,12.82833626,0.159584145,0.541942054,0.964171791
