Zeit,Temperatur Min,Temperatur Max,Temperatur,Luftfeuchtigkeit,Niederschlag,Niederschlagsart,Bedeckung,Sonnenscheindauer,Datum,Kategorie
1947-12-31T23:00Z,-2.6,2.9,0.27,88.91,0,,NaN,0,1948/01/01,Overcast
1948-01-01T23:00Z,2.8,10,6.46,91.46,0,,NaN,0,1948/01/02,Overcast
1948-01-02T23:00Z,10.7,12.4,11.7,89.08,0,,NaN,0,1948/01/03,Overcast
1948-01-03T23:00Z,5.5,11.7,9.81,78.96,0,,NaN,0,1948/01/04,Overcast
1948-01-04T23:00Z,4.7,11.8,7.88,80.33,0,,NaN,0,1948/01/05,Overcast
1948-01-05T23:00Z,1.6,5.4,3.23,76.08,0,,NaN,0,1948/01/06,Overcast
1948-01-06T23:00Z,1.8,10.4,6.75,90.33,0,,NaN,0,1948/01/07,Overcast
1948-01-07T23:00Z,3.5,9.6,5.76,73,0,,NaN,0,1948/01/08,Overcast
1948-01-08T23:00Z,1.9,5.6,3.43,73.75,0,,NaN,0,1948/01/09,Overcast
1948-01-09T23:00Z,2.5,8.5,4.87,72.17,0,,NaN,0,1948/01/10,Overcast
1948-01-10T23:00Z,2.6,7.3,4.47,79.92,0,,NaN,0,1948/01/11,Overcast
1948-01-11T23:00Z,2.4,9.5,6.89,80.13,0,,NaN,0,1948/01/12,Overcast
1948-01-12T23:00Z,6.6,12.1,10.14,84.58,0,,NaN,0,1948/01/13,Overcast
1948-01-13T23:00Z,1.6,11.7,5.06,90.71,0,,NaN,0,1948/01/14,Overcast
1948-01-14T23:00Z,1.6,5.2,3.35,91.67,0,,NaN,0,1948/01/15,Overcast
1948-01-15T23:00Z,0.5,2.6,1.73,89.25,0,,NaN,0,1948/01/16,Overcast
1948-01-16T23:00Z,-1.1,2.1,1.09,87.5,0,,NaN,0,1948/01/17,Overcast
1948-01-17T23:00Z,0,4.3,2.24,81.08,0,,NaN,0,1948/01/18,Overcast
1948-01-18T23:00Z,0.9,4.3,2.3,86.75,0,,NaN,0,1948/01/19,Overcast
1948-01-19T23:00Z,-0.7,2.3,1.08,83.29,0,,NaN,0,1948/01/20,Overcast
1948-01-20T23:00Z,-1.6,-0.1,-0.64,73.79,0,,NaN,0,1948/01/21,Overcast
1948-01-21T23:00Z,-1.6,2.3,0.26,83.54,0,,NaN,0,1948/01/22,Overcast
1948-01-22T23:00Z,-0.7,5.1,1.74,81.13,0,,NaN,0,1948/01/23,Overcast
1948-01-23T23:00Z,0.4,3,1.52,90.5,0,,NaN,0,1948/01/24,Overcast
1948-01-24T23:00Z,-1,2.4,0.22,93.29,0,,NaN,0,1948/01/25,Overcast
1948-01-25T23:00Z,-2.2,-0.9,-1.74,95.42,0,,NaN,0,1948/01/26,Overcast
1948-01-26T23:00Z,-1.8,4.6,0.78,89.04,0,,NaN,0,1948/01/27,Overcast
1948-01-27T23:00Z,1.7,7.6,3.75,85.54,0,,NaN,0,1948/01/28,Overcast
1948-01-28T23:00Z,1.5,10.8,6.39,79.46,0,,NaN,0,1948/01/29,Overcast
1948-01-29T23:00Z,5.2,9.3,7.52,79.13,0,,NaN,0,1948/01/30,Overcast
1948-01-30T23:00Z,9.4,11.8,10.6,87.04,0,,NaN,0,1948/01/31,Overcast
1948-01-31T23:00Z,5.6,9.2,7.88,80.33,0,,NaN,0,1948/02/01,Overcast
1948-02-01T23:00Z,4.1,11.9,7.55,74.58,0,,NaN,0,1948/02/02,Overcast
1948-02-02T23:00Z,8,12.1,10.18,81.58,0,,NaN,0,1948/02/03,Overcast
1948-02-03T23:00Z,3.8,11,5.93,72.92,0,,NaN,0,1948/02/04,Overcast
1948-02-04T23:00Z,4,6.3,5.18,78.25,0,,NaN,0,1948/02/05,Overcast
1948-02-05T23:00Z,3.3,6.2,4.54,80.92,0,,NaN,0,1948/02/06,Overcast
1948-02-06T23:00Z,1.9,7.1,3.25,81.29,0,,NaN,0,1948/02/07,Overcast
1948-02-07T23:00Z,8,10.1,8.99,88.92,0,,NaN,0,1948/02/08,Overcast
1948-02-08T23:00Z,6.4,10.5,8.73,78.04,0,,NaN,0,1948/02/09,Overcast
1948-02-09T23:00Z,4.9,7.1,5.78,80.83,0,,NaN,0,1948/02/10,Overcast
1948-02-10T23:00Z,5.2,8.2,6.38,89.29,0,,NaN,0,1948/02/11,Overcast
1948-02-11T23:00Z,3.2,7.5,5.71,86,0,,NaN,0,1948/02/12,Overcast
1948-02-12T23:00Z,1,6.1,3.39,77.79,0,,NaN,0,1948/02/13,Overcast
