timestep,id,x,y
1,1,21,21
1,2,21,22
1,3,21,23
1,4,21,24
1,5,21,25
1,6,21,26
1,7,21,27
1,8,21,28
1,9,21,29
1,10,21,30
1,11,22,21
1,12,22,22
1,13,22,23
1,14,22,24
1,15,22,25
1,16,22,26
1,17,22,27
1,18,22,28
1,19,22,29
1,20,22,30
1,21,23,21
1,22,23,22
1,23,23,23
1,24,23,24
1,25,23,25
1,26,23,26
1,27,23,27
1,28,23,28
1,29,23,29
1,30,23,30
1,31,24,21
1,32,24,22
1,33,24,23
1,34,24,24
1,35,24,25
1,36,24,26
1,37,24,27
1,38,24,28
1,39,24,29
1,40,24,30
1,41,25,21
1,42,25,22
1,43,25,23
1,44,25,24
1,45,25,25
1,46,25,26
1,47,25,27
1,48,25,28
1,49,25,29
1,50,25,30
1,51,26,21
1,52,26,22
1,53,26,23
1,54,26,24
1,55,26,25
1,56,26,26
1,57,26,27
1,58,26,28
1,59,26,29
1,60,26,30
1,61,27,21
1,62,27,22
1,63,27,23
1,64,27,24
1,65,27,25
1,66,27,26
1,67,27,27
1,68,27,28
1,69,27,29
1,70,27,30
1,71,28,21
1,72,28,22
1,73,28,23
1,74,28,24
1,75,28,25
1,76,28,26
1,77,28,27
1,78,28,28
1,79,28,29
1,80,28,30
1,81,29,21
1,82,29,22
1,83,29,23
1,84,29,24
1,85,29,25
1,86,29,26
1,87,29,27
1,88,29,28
1,89,29,29
1,90,29,30
1,91,30,21
1,92,30,22
1,93,30,23
1,94,30,24
1,95,30,25
1,96,30,26
1,97,30,27
1,98,30,28
1,99,30,29
1,100,30,30
2,1,22,20
2,2,20,23
2,3,21,22
2,4,21,23
2,5,21,24
2,6,20,25
2,7,20,27
2,8,20,29
2,9,21,28
2,10,20,31
2,11,21,21
2,12,22,21
2,13,22,22
2,14,22,23
2,15,21,25
2,16,21,27
2,17,22,26
2,18,22,27
2,19,22,28
2,20,21,31
2,21,23,20
2,22,23,21
2,23,22,24
2,24,22,25
2,25,23,24
2,26,23,25
2,27,23,26
2,28,23,27
2,29,22,29
2,30,23,29
2,31,23,22
2,32,23,23
2,33,24,22
2,34,24,23
2,35,24,24
2,36,24,25
2,37,23,28
2,38,24,27
2,39,24,28
2,40,24,31
2,41,25,20
2,42,24,21
2,43,25,22
2,44,25,23
2,45,24,26
2,46,25,25
2,47,25,26
2,48,25,27
2,49,24,29
2,50,26,31
2,51,26,20
2,52,26,21
2,53,25,24
2,54,26,23
2,55,26,24
2,56,26,25
2,57,26,26
2,58,25,29
2,59,25,28
2,60,26,29
2,61,26,22
2,62,27,21
2,63,27,22
2,64,27,23
2,65,27,24
2,66,27,25
2,67,27,26
2,68,27,27
2,69,26,30
2,70,28,31
2,71,29,20
2,72,28,21
2,73,28,22
2,74,28,23
2,75,28,24
2,76,28,25
2,77,28,26
2,78,27,29
2,79,27,28
2,80,28,29
2,81,30,20
2,82,29,21
2,83,29,22
2,84,29,23
2,85,29,24
2,86,28,27
2,87,29,26
2,88,29,27
2,89,28,28
2,90,29,31
2,91,31,20
2,92,31,21
2,93,31,23
2,94,29,25
2,95,31,25
2,96,30,25
2,97,31,26
2,98,31,27
2,99,29,30
2,100,29,29
3,1,22,19
3,2,19,24
3,3,20,22
3,4,21,22
3,5,20,24
3,6,21,26
3,7,20,26
3,8,21,29
3,9,20,28
3,10,20,32
3,11,20,21
3,12,21,20
3,13,22,21
3,14,22,22
3,15,20,25
3,16,20,27
3,17,21,27
3,18,22,26
3,19,21,28
3,20,20,31
3,21,24,20
3,22,22,20
3,23,22,23
3,24,22,24
3,25,22,25
3,26,23,24
3,27,23,25
3,28,22,28
3,29,23,30
3,30,22,29
3,31,23,21
3,32,23,22
3,33,23,23
3,34,24,22
3,35,24,23
3,36,23,26
3,37,23,29
3,38,23,28
3,39,24,27
3,40,25,30
3,41,25,21
3,42,25,20
3,43,24,21
3,44,24,24
3,45,23,27
3,46,24,26
3,47,24,25
3,48,24,28
3,49,24,30
3,50,26,32
3,51,27,20
3,52,26,20
3,53,25,25
3,54,25,24
3,55,25,23
3,56,25,26
3,57,26,27
3,58,24,29
3,59,26,28
3,60,25,28
3,61,26,21
3,62,28,20
3,63,26,23
3,64,26,22
3,65,26,25
3,66,27,24
3,67,26,26
3,68,27,26
3,69,27,30
3,70,28,30
3,71,29,19
3,72,29,20
3,73,27,21
3,74,27,22
3,75,27,23
3,76,28,24
3,77,28,25
3,78,26,30
3,79,27,27
3,80,27,28
3,81,30,19
